source_path,language,program_type,recur_type,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,summary
c_bench_term/3pieces_Caterina_TACAS16.c,C,loop,,Linear,1,1,1,False,False,True,False,False,14,分析代码的主要任务是检查变量y的值，并在满足条件时通过循环修改变量x。
c_bench_term/3pieces_Caterina_TACAS16_modif_1.c,C,loop,,Linear,1,1,1,False,False,True,False,False,14,开始执行程序，根据x和y的值进行条件判断和循环操作。
c_bench_term/3pieces_Caterina_TACAS16_modif_2.c,C,loop,,Linear,1,1,1,False,False,True,False,False,13,分析程序中的循环行为，检查变量x和y在非确定性初始值下的变化。
c_bench_term/3pieces_Caterina_TACAS16_modif_3.c,C,loop,,Linear,1,1,1,False,False,True,False,False,16,使用非确定值初始化变量，并在满足条件时通过循环修改x的值。
c_bench_term/4NestedWith2Variables_false-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,True,14,开始一个循环，当变量a大于0时更新a和b的值。
c_bench_term/4NestedWith3Variables_false-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,True,16,开始一个循环，根据变量q的值重复更新q、a和b，直到q不大于0。
c_bench_term/AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c,C,loop,,Linear,1,1,3,False,False,True,False,True,24,通过非确定性输入初始化变量，并在循环中根据条件修改变量值。
c_bench_term/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,False,17,使用循环根据j的值更新变量，直到i减小到0。
c_bench_term/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,19,计算并更新两个变量da和db，直到da小于r。
c_bench_term/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,False,21,开始执行一个循环，根据条件对变量x进行递增或递减操作，直到x大于n。
c_bench_term/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,True,20,计算两个非负整数在循环中的递减与重置过程。
c_bench_term/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,20,使用循环遍历两个变量i和j，当i小于n时递增，j在达到m后重置并递增i。
c_bench_term/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,17,开始分析代码。该程序通过非确定性输入初始化两个变量，并在满足条件时循环递增较小的变量。
c_bench_term/Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified1.c,C,loop,,Linear,1,1,3,False,False,True,False,True,21,使用非确定性变量初始化三个整数，并在它们都大于0时循环更新其值。
c_bench_term/Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination-modified2.c,C,loop,,Linear,1,1,3,False,False,True,False,True,21,通过非确定性输入初始化变量，并在循环中根据条件更新变量值直到任一变量小于等于零。
c_bench_term/Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c,C,loop,,Linear,1,1,3,False,False,True,False,True,21,使用非确定性输入初始化三个变量，并在循环中根据条件更新它们的值，直到至少一个变量小于等于零。
c_bench_term/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,23,分析代码的主要任务是执行一个受条件控制的循环，更新变量x和y直到x大于N。
c_bench_term/Cairo_true-no-overflow_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,1,False,False,True,False,False,13,当x大于0时，通过循环将x递减至0。
c_bench_term/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,19,分析一个包含非确定性输入和循环条件的C程序，检查变量在循环中的变化行为。
c_bench_term/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,C,loop,,Linear,1,1,4,False,False,True,False,True,29,开始一个循环，根据变量之间的比较和条件更新变量的值，直到条件不再满足。
c_bench_term/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,C,loop,,Linear,1,1,5,False,False,True,False,True,24,使用非确定性输入初始化变量，并在满足条件时通过循环更新这些变量。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version1.c,C,loop,,Linear,1,1,1,False,False,True,False,True,10,开始一个循环，当变量x大于0时更新x的值。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version2.c,C,loop,,Linear,1,1,1,False,False,True,False,True,10,开始一个循环，当变量x小于0时更新其值，直到x大于等于0。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version3.c,C,loop,,Linear,1,1,2,False,False,True,False,True,12,开始一个循环，当x小于0且y大于0时更新x和y的值。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version4.c,C,loop,,Linear,1,1,2,False,False,True,False,True,14,开始一个循环，根据x和y的值更新它们，直到x加y不大于0。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version5.c,C,loop,,Linear,1,1,1,False,False,True,False,True,13,分析非确定性输入并在满足条件时执行循环。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version6.c,C,loop,,Linear,1,1,2,False,False,True,False,True,12,开始一个循环，当x加y大于0时更新x和y的值。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,True,10,使用非确定性整数初始化x，并在x大于0时循环更新x的值。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex1.02_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,11,使用非确定性整数初始化变量并循环更新，直到条件不满足。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,13,通过循环更新变量x和y的值，直到线性表达式4*x + y不再大于0。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,False,12,通过非确定性输入初始化x和y，并在满足条件时循环更新它们的值。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-simpl.c,C,loop,,Linear,1,1,3,False,False,True,False,True,13,分析程序中的循环条件并更新变量x和y直到不满足条件。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version1.c,C,loop,,Linear,1,1,3,False,False,True,False,True,15,开始一个循环，根据变量x、y、z和n的初始值更新这些变量，直到满足终止条件。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version2.c,C,loop,,Linear,1,1,3,False,False,True,False,True,16,分析非确定性输入并在满足条件时更新变量x、y、z的值。
c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow.c,C,loop,,Linear,1,1,3,False,False,True,False,True,15,使用非确定性初始值，通过循环更新变量x、y、z直到条件不满足。
c_bench_term/CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,16,开始一个循环，当x和y都大于0时继续执行，随机选择减少x或重置x并减少y。
c_bench_term/CookSeeZuleger-TACAS2013-Fig7a-true-termination_true-no-overflow.c,C,loop,,Linear,1,1,3,False,False,True,False,True,20,开始一个循环，根据非确定性条件更新变量x、y和d的值，直到其中一个变量不大于0。
c_bench_term/CookSeeZuleger-TACAS2013-Fig7b-true-termination_true-no-overflow.c,C,loop,,Linear,1,1,3,False,False,True,False,True,21,使用非确定性输入初始化三个变量，并在循环中根据条件修改它们的值。
c_bench_term/CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,调整变量x的值，使其通过递增或递减逐步逼近并等于K。
c_bench_term/Copenhagen_disj_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,2,False,False,True,False,True,17,通过交替更新两个变量来模拟循环过程，直到两者都小于零。
c_bench_term/Copenhagen_disj_true_version.c,C,loop,,Linear,1,1,3,False,False,True,False,False,17,通过循环不断更新变量x、y、z的值，直到它们都小于0为止。
c_bench_term/Copenhagen_true-no-overflow_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,2,False,False,True,False,True,14,通过交替更新两个变量的值来执行循环，直到其中一个变为负数。
c_bench_term/Et1_false-no-overflow_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,通过非确定性输入初始化两个变量，并在循环中更新它们的值。
c_bench_term/Gothenburg_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,False,17,检查a是否等于b，若相等则循环递减x和y直到两者都小于0。
c_bench_term/Gothenburg_v2_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,17,检查条件后执行循环，更新变量x和y直到它们都小于0。
c_bench_term/Gothenburg_v3_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,False,20,交换变量a和b的值，并在满足条件时循环更新x和y直到两者都小于0。
c_bench_term/Gothenburg_v4_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,False,21,开始一个循环，当a等于b且x或y非负时交换变量并更新值。
c_bench_term/GulavaniGulwani-CAV2008-Fig1a_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,False,16,开始一个循环，当x小于y时不断根据z和x的大小关系更新x或z。
c_bench_term/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version1.c,C,loop,,Linear,1,1,2,False,False,True,False,True,20,开始验证非确定性输入的循环条件并执行递增操作。
c_bench_term/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version2.c,C,loop,,Linear,1,1,2,False,False,True,False,True,20,开始验证非确定性输入的循环行为。
c_bench_term/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,20,验证非确定性输入下循环的终止行为。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination-version.c,C,loop,,Linear,1,1,1,False,False,True,False,True,13,分析代码的主要任务是执行一个基于x和y大小关系的循环计算。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c,C,loop,,Linear,1,1,1,False,False,True,False,True,11,计算并更新变量x和y，直到x小于0。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-version.c,C,loop,,Linear,1,1,1,False,False,True,False,False,12,分析代码的主要任务是执行一个循环，直到x小于0为止。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,False,11,分析程序中的循环行为，检查非确定性输入下的终止性。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination-version.c,C,loop,,Linear,1,1,1,False,False,True,False,True,14,开始一个循环，当x大于等于0时不断减少x的值。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,C,loop,,Linear,1,1,1,False,False,True,False,True,13,分析非确定整数输入并根据条件执行循环。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination-version.c,C,loop,,Linear,1,1,1,False,False,True,False,True,15,开始一个循环，当x大于等于0时不断更新x的值。
c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,14,开始一个循环，当x大于等于0且z等于1时更新x的值。
c_bench_term/Lobnya-Boolean-Reordered_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,1,False,False,True,False,False,19,通过非确定性输入初始化变量，并在循环中根据条件更新变量值。
c_bench_term/Masse-VMCAI2014-Fig1a_true-termination.c,C,loop,,Linear,1,1,1,False,False,True,False,False,16,分析非确定整数变量在循环中的变化，检查循环终止条件。
c_bench_term/Masse-VMCAI2014-Fig1b_true-termination-version-1.c,C,loop,,Linear,1,1,1,False,False,True,False,True,16,开始一个循环，根据非确定性条件更新变量x的值直到x大于100。
c_bench_term/Masse-VMCAI2014-Fig1b_true-termination-version-2.c,C,loop,,Linear,1,1,1,False,False,True,False,True,18,通过非确定性条件循环更新变量x的值，直到x大于100。
c_bench_term/Masse-VMCAI2014-Fig1b_true-termination.c,C,loop,,Linear,1,1,1,False,False,True,False,True,14,使用非确定性输入初始化x，并在满足条件时通过分支更新其值。
c_bench_term/McCarthyIterative_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,False,20,通过循环根据x的值对其进行增减操作，直到c不大于0。
c_bench_term/MenloPark_true-no-overflow_true-termination_true-valid-memsafety-modif.c,C,loop,,Linear,1,1,1,False,False,True,False,False,18,分析程序中的变量初始化和循环执行条件。
c_bench_term/MenloPark_true-no-overflow_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,1,False,False,True,False,False,15,开始一个循环，根据非确定性输入x的值不断更新x、y和z，直到x小于0。
c_bench_term/Mysore_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,False,15,分析非确定整数输入并根据条件执行循环递减操作。
c_bench_term/NoriSharma-2013FSE-Fig8-true-termination-modif.c,C,loop,,Linear,1,1,2,False,False,True,False,False,16,开始一个循环，当x大于等于y时执行，根据非确定性条件更新变量。
c_bench_term/NoriSharma-2013FSE-Fig8-true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,False,16,通过循环调整变量x、y和z的值，直到x小于y为止。
c_bench_term/Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-version.c,C,loop,,Linear,1,1,2,False,False,True,False,True,15,使用非确定性初始值，通过循环不断调整x和y，直到其中一个小于等于0。
c_bench_term/Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,2,False,False,True,False,True,15,通过循环递减y并在y小于0时递减x来模拟双重循环的终止行为。
c_bench_term/Parallel_true-no-overflow_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,2,False,False,True,False,False,16,通过循环递减x或y直到两者都小于0来终止程序。
c_bench_term/Piecewise_true-no-overflow_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,2,False,False,True,False,True,18,开始一个循环，根据i和j的大小关系更新它们的值，直到其中一个不大于0或两者相等。
c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif1.c,C,loop,,Linear,1,1,2,False,False,True,False,True,18,使用非确定性输入初始化变量，并在循环中根据条件更新它们的值。
c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif2.c,C,loop,,Linear,1,1,2,False,False,True,False,True,18,使用非确定性输入初始化x和y，并在满足条件时通过不同分支更新它们的值。
c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination-simpl.c,C,loop,,Linear,1,1,2,False,False,True,False,True,13,使用非确定性初始值对x和y进行循环更新，直到其中一个不大于0。
c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,18,使用非确定性输入初始化变量，并在循环中根据条件更新它们的值。
c_bench_term/PodelskiRybalchenko-TACAS2011-Fig4_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,16,使用非确定性输入初始化变量，并在循环中根据条件修改它们的值。
c_bench_term/PodelskiRybalchenko-VMCAI2004-Ex1_false-no-overflow-version.c,C,loop,,Linear,1,1,4,False,False,True,False,False,35,使用非确定性变量更新循环中的值，直到满足终止条件。
c_bench_term/PodelskiRybalchenko-VMCAI2004-Ex1_false-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,False,21,使用非确定性变量通过循环调整i和j的值，直到i与j的差小于1。
c_bench_term/PodelskiRybalchenko-simpl1.c,C,loop,,Linear,1,1,2,True,False,True,False,True,28,开始一个循环，当x和y都大于0时执行，并根据非确定性条件更新x和y的值。
c_bench_term/PodelskiRybalchenko-simpl2.c,C,loop,,Linear,1,1,2,False,False,True,False,True,16,使用非确定性输入初始化变量，并在循环中根据条件修改它们的值。
c_bench_term/PodelskiRybalchenko-simpl3.c,C,loop,,Linear,1,1,2,False,False,True,False,True,16,使用非确定性输入初始化x和y，循环执行直到x或y小于等于0。
c_bench_term/Problem00_label00_true-unreach-call-toy.c,C,loop,,Linear,1,1,1,False,False,True,False,True,29,计算输入值并根据条件返回结果，循环直到输出为0。
c_bench_term/Pure2Phase_false-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,False,17,通过循环不断修改y和z的值，直到z小于0时退出循环。
c_bench_term/Pure2Phase_true-termination_true-valid-memsafety.c,C,loop,,Linear,1,1,1,False,False,True,False,True,22,分析程序逻辑，检查在循环中变量y和z的变化及非负条件下的执行路径。
c_bench_term/Pure3Phase_false-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,False,19,使用非确定性初始值通过循环更新变量，直到x小于0。
c_bench_term/Singapore_false-no-overflow-version.c,C,loop,,Linear,1,1,1,False,False,True,False,False,16,根据x和y的初始值判断是否进入循环，并在循环中更新x和y的值。
c_bench_term/Singapore_false-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,False,16,分析代码的主要任务是检查x和y的初始和条件，并在满足条件时通过循环更新x和y的值。
c_bench_term/TelAviv-Amir-Minimum-alloca_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,25,通过非确定性条件循环更新两个变量，直到其中一个不大于零。
c_bench_term/Thun_false-no-overflow.c,C,loop,,Linear,1,1,1,False,False,True,False,True,14,分析程序中的循环行为，检查非确定性输入下循环条件的满足情况。
c_bench_term/Toulouse-BranchesToLoop-alloca_true-termination.c,C,loop,,Linear,1,1,2,False,False,True,False,True,19,开始执行一个循环，根据条件更新变量y和z的值。
c_bench_term/UrbanMine-ESOP2014-Fig3_true-termination_true-no-overflow.c,C,loop,,Linear,1,1,2,False,False,True,False,True,26,开始一个循环，当x不等于0且y大于0时执行循环体，根据x的值和非确定性条件修改x和y。
