tool,path,source_dir,type,notes
2ls,Results/Archived/2ls_SVComp_copy1.csv,Results,csv,archived 2ls results
2ls,Results/Archived/2ls_SVComp_copy3-2.csv,Results,csv,archived 2ls results
2ls,Results/Archived/2ls_SVComp_merge.csv,Results,csv,archived 2ls results
2ls,Results/Archived/2ls_SVComp_merge_dedup.csv,Results,csv,archived 2ls results
2ls,Results/Archived/2ls_TPDB_copy1.csv,Results,csv,archived 2ls results
2ls,Results/Archived/2ls_TPDB_copy2.csv,Results,csv,archived 2ls results
2ls,Results/Archived/2ls_TPDB_copy3.csv,Results,csv,archived 2ls results
2ls,Results/Archived/2ls_TPDB_merge.csv,Results,csv,archived 2ls results
irankfinder,Results/Archived/irank_ALL_complexArgs.csv,Results,csv,archived irank results
irankfinder,Results/Archived/irank_ALL_simpleArgs.csv,Results,csv,archived irank results
irankfinder,Results/Archived/irank_TPDB-Certain_complexArgs.csv,Results,csv,archived irank results
aggregate,Results/TPDB_Certain_Benchmarks_Correct.csv,Results,csv,TPDB certain tool results (2ls/irank/CPA)
CPAChecker,Results/Archived/CPA_TPDB_Certain_lasso+general.csv,Results,csv,CPA TPDB certain lasso+general (archived)
CPAChecker,Results/Archived/CPA_TPDB_Certain_lasso+general_cp2.csv,Results,csv,CPA TPDB certain lasso+general (archived)
CPAChecker,Results/CPA_aeval_lasso_1217.csv,Results,csv,CPA aeval lasso+general
CPAChecker,Results/CPA_Outputs/CPA_loopy_lasso+general_1211.csv,Results,csv,CPA Loopy outputs summary
CPAChecker,Results/CPA_Outputs/Loopy_CPA-Lasso_terminating.csv,Results,csv,CPA Loopy outputs summary
CPAChecker,Results/CPA_Outputs/Loopy_CPA-Lasso_unknown.csv,Results,csv,CPA Loopy outputs summary
CPAChecker,Results/CPA_Outputs/Loopy_CPA-Lasso_with_invariants.csv,Results,csv,CPA Loopy outputs summary
CPAChecker,Results/CPA_Outputs/Loopy_CPA-all_summary_sample_updated.csv,Results,csv,CPA Loopy outputs summary
CPAChecker,Results/CPA_Outputs/Loopy_summary_sample.csv,Results,csv,CPA Loopy outputs summary
CPAChecker,Results/CPA_Outputs/Analyze_for_Loopy_CPA.md,Results,md,analysis notes for CPA Loopy
CPAChecker,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark,Results,dir,raw CPAchecker outputs
SVMRanker,Experiments/LLM_Pipeline_Exp/Pipeline_parsed_results.csv,Experiments,csv,pipeline parsed results (includes LLM time)
SVMRanker,Experiments/LLM_Pipeline_Exp/Compare_pipe&svm.csv,Experiments,csv,pipeline vs svm comparison
SVMRanker,Experiments/LLM_Pipeline_Exp/output-txt,Experiments,dir,raw SVMRanker outputs
