file_name,original_path,predicted_status,predicted_kind,category_folder,processing_time,is_consistent,repeat_results,raw_responses
2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,LLM_Phase_Exp/4-nested-terminate/2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,NONTERM,OTHER,NONTERM,5.72,False,"[('NONTERM', 'OTHER'), ('TERM', 'Nested'), ('NONTERM', 'OTHER')]","['[NONTERM] OTHER', '[TERM] Nested', '[NONTERM] OTHER']"
1_LeikeHeizmann-TACAS2014-Ex9.bpl,LLM_Phase_Exp/4-nested-terminate/1_LeikeHeizmann-TACAS2014-Ex9.bpl,TERM,Single,TERM,4.53,False,"[('TERM', 'Single'), ('TERM', 'Nested'), ('TERM', 'Nested')]","['[TERM] Single', '[TERM] Nested', '[TERM] Nested']"
1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,LLM_Phase_Exp/4-nested-terminate/1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,NONTERM,RECUR,NONTERM,4.87,False,"[('NONTERM', 'RECUR'), ('NONTERM', 'MONO'), ('NONTERM', 'RECUR')]","['[NONTERM] RECUR', '[NONTERM] MONO', '[NONTERM] RECUR']"
1_PastaA8_false-no-overflow_true-termination.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaA8_false-no-overflow_true-termination.bpl,NONTERM,MONO,NONTERM,2.88,True,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'MONO')]","['[NONTERM] MONO', '[NONTERM] MONO', '[NONTERM] MONO']"
2_2.bpl,LLM_Phase_Exp/4-nested-terminate/2_2.bpl,TERM,Nested,TERM,2.45,True,"[('TERM', 'Nested'), ('TERM', 'Nested'), ('TERM', 'Nested')]","['[TERM] Nested', '[TERM] Nested', '[TERM] Nested']"
1_LeikeHeizmann-TACAS2014-Ex1.bpl,LLM_Phase_Exp/4-nested-terminate/1_LeikeHeizmann-TACAS2014-Ex1.bpl,TERM,Single,TERM,2.37,False,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Multi')]","['[TERM] Single', '[TERM] Single', '[TERM] Multi']"
1_Copenhagen.bpl,LLM_Phase_Exp/4-nested-terminate/1_Copenhagen.bpl,TERM,Single,TERM,2.85,False,"[('TERM', 'Single'), ('NONTERM', 'RECUR'), ('NONTERM', 'RECUR')]","['[TERM] Single', '[NONTERM] RECUR', '[NONTERM] RECUR']"
3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,LLM_Phase_Exp/4-nested-terminate/3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,NONTERM,MONO,NONTERM,2.58,True,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'MONO')]","['[NONTERM] MONO', '[NONTERM] MONO', '[NONTERM] MONO']"
1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,LLM_Phase_Exp/4-nested-terminate/1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,TERM,Single,TERM,3.0,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,LLM_Phase_Exp/4-nested-terminate/1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,NONTERM,MONO,NONTERM,2.61,False,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'RECUR')]","['[NONTERM] MONO', '[NONTERM] MONO', '[NONTERM] RECUR']"
2_b.03_assume_false-no-overflow.bpl,LLM_Phase_Exp/4-nested-terminate/2_b.03_assume_false-no-overflow.bpl,NONTERM,MONO,NONTERM,2.54,True,"[('NONTERM', 'MONO'), ('NONTERM', 'MONO'), ('NONTERM', 'MONO')]","['[NONTERM] MONO', '[NONTERM] MONO', '[NONTERM] MONO']"
1_171.bpl,LLM_Phase_Exp/4-nested-terminate/1_171.bpl,NONTERM,OTHER,NONTERM,3.21,False,"[('NONTERM', 'OTHER'), ('TERM', 'Single'), ('NONTERM', 'OTHER')]","['[NONTERM] OTHER', '[TERM] Single', '[NONTERM] OTHER']"
1_151.bpl,LLM_Phase_Exp/4-nested-terminate/1_151.bpl,NONTERM,RECUR,NONTERM,2.63,True,"[('NONTERM', 'RECUR'), ('NONTERM', 'RECUR'), ('NONTERM', 'RECUR')]","['[NONTERM] RECUR', '[NONTERM] RECUR', '[NONTERM] RECUR']"
2_144.bpl,LLM_Phase_Exp/4-nested-terminate/2_144.bpl,TERM,Multi,TERM,2.93,False,"[('TERM', 'Multi'), ('TERM', 'Other'), ('TERM', 'Other')]","['[TERM] Multi', '[TERM] Other', '[TERM] Other']"
1_55.bpl,LLM_Phase_Exp/4-nested-terminate/1_55.bpl,TERM,Other,TERM,2.43,True,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Other')]","['[TERM] Other', '[TERM] Other', '[TERM] Other']"
